true,predicted,count,share_of_true_class
Cardiovascular risk factor,End stage renal disease,5,0.006675567423230975
Cardiovascular risk factor,GI bleed,5,0.006675567423230975
Cardiovascular risk factor,Major depressive disorder,5,0.006675567423230975
Diabetes mellitus,Back or spine pain,5,0.011764705882352941
Diabetes mellitus,End stage renal disease,5,0.011764705882352941
Diabetes mellitus,Epilepsy,5,0.011764705882352941
Diabetes mellitus,Hypotension,5,0.011764705882352941
GI bleed,Hypotension,5,0.016556291390728478
GI bleed,Sepsis,5,0.016556291390728478
Head injury,Acute upper respiratory infection,5,0.0099601593625498
Head injury,Hypokalemia,5,0.0099601593625498
Head injury,Skin or soft-tissue infection,5,0.0099601593625498
Heart failure,Anemia,5,0.058823529411764705
Hypotension,Hypokalemia,5,0.10638297872340426
Limb injury or pain,Alcohol abuse with intoxication,5,0.005537098560354375
Limb injury or pain,Anxiety disorder,5,0.005537098560354375
Limb injury or pain,End stage renal disease,5,0.005537098560354375
Limb injury or pain,Unspecified asthma with (acute) exacerbation,5,0.005537098560354375
Lower respiratory disease,Hypothyroidism,5,0.013550135501355014
Lower respiratory disease,UTI or pyelonephritis,5,0.013550135501355014
Sepsis,Anemia,5,0.12195121951219512
Skin or soft-tissue infection,Hypothyroidism,5,0.012853470437017995
UTI or pyelonephritis,Head injury,5,0.012106537530266344
UTI or pyelonephritis,Hypotension,5,0.012106537530266344
Unspecified atrial fibrillation,Dehydration,5,0.027932960893854747
Acute kidney failure,Diabetes mellitus,4,0.03125
Acute kidney failure,UTI or pyelonephritis,4,0.03125
Acute kidney failure,Unspecified atrial fibrillation,4,0.03125
Acute pharyngitis,Back or spine pain,4,0.023809523809523808
Acute upper respiratory infection,Cardiovascular risk factor,4,0.04878048780487805
Anemia,Dehydration,4,0.03508771929824561
Anemia,Lower respiratory disease,4,0.03508771929824561
Back or spine pain,Anemia,4,0.004678362573099415
Cardiovascular risk factor,Laceration w/o fb of l idx fngr w/o damage to nail,4,0.0053404539385847796
Cardiovascular risk factor,Sepsis,4,0.0053404539385847796
Dehydration,GI bleed,4,0.031007751937984496
Dehydration,Unspecified atrial fibrillation,4,0.031007751937984496
Diabetes mellitus,Acute upper respiratory infection,4,0.009411764705882352
Diabetes mellitus,Anxiety disorder,4,0.009411764705882352
Diabetes mellitus,Head injury,4,0.009411764705882352
Diabetes mellitus,Sepsis,4,0.009411764705882352
Diabetes mellitus,Unsp intestnl obst,4,0.009411764705882352
Head injury,Anxiety disorder,4,0.00796812749003984
Heart failure,Non-ST elevation (NSTEMI) myocardial infarction,4,0.047058823529411764
Hypothyroidism,Cardiovascular risk factor,4,0.06153846153846154
Laceration w/o fb of l idx fngr w/o damage to nail,Hypothyroidism,4,0.03278688524590164
Limb injury or pain,Epilepsy,4,0.004429678848283499
Lower respiratory disease,Epilepsy,4,0.01084010840108401
Multiple fractures of ribs,Back or spine pain,4,0.05714285714285714
Skin or soft-tissue infection,Dehydration,4,0.010282776349614395
Skin or soft-tissue infection,Sepsis,4,0.010282776349614395
Skin or soft-tissue infection,UTI or pyelonephritis,4,0.010282776349614395
UTI or pyelonephritis,Epilepsy,4,0.009685230024213076
UTI or pyelonephritis,GI bleed,4,0.009685230024213076
UTI or pyelonephritis,Heart failure,4,0.009685230024213076
UTI or pyelonephritis,Limb injury or pain,4,0.009685230024213076
UTI or pyelonephritis,Multiple fractures of ribs,4,0.009685230024213076
Unsp intestnl obst,Diabetes mellitus,4,0.03418803418803419
Unsp intestnl obst,Hypokalemia,4,0.03418803418803419
Unspecified asthma with (acute) exacerbation,Heart failure,4,0.03571428571428571
Unspecified atrial fibrillation,Multiple fractures of ribs,4,0.0223463687150838
Unspecified atrial fibrillation,Sepsis,4,0.0223463687150838
