true,pred,count,pct_of_true_class
Anxiety disorder,Alcohol abuse with intoxication,5,1.7
End stage renal disease,Lower respiratory disease,5,5.5
Back or spine pain,Anxiety disorder,5,0.3
Unsp intestnl obst,GI bleed,5,2.1
UTI or pyelonephritis,Unspecified atrial fibrillation,5,0.6
GI bleed,Unsp intestnl obst,5,0.8
GI bleed,Skin or soft-tissue infection,5,0.8
Acute kidney failure,Dehydration,5,2.0
Lower respiratory disease,Acute pharyngitis,5,0.7
Head injury,Hypothyroidism,5,0.4
Unspecified asthma with (acute) exacerbation,Diabetes mellitus,5,2.2
Unsp intestnl obst,Limb injury or pain,5,2.1
Dehydration,Anxiety disorder,5,1.9
Hypotension,Diabetes mellitus,5,5.1
Hypotension,Head injury,5,5.1
Hypokalemia,Head injury,5,1.9
Hypothyroidism,Anxiety disorder,5,3.8
Unsp intestnl obst,Acute kidney failure,5,2.1
Back or spine pain,Dehydration,5,0.3
End stage renal disease,Limb injury or pain,5,5.5
Skin or soft-tissue infection,Hypothyroidism,5,0.6
Hypokalemia,Dehydration,5,1.9
Diabetes mellitus,GI bleed,5,0.6
Acute pharyngitis,Unspecified asthma with (acute) exacerbation,4,1.2
Athscl heart disease of native coronary artery w/o ang pctrs,Limb injury or pain,4,2.7
Diabetes mellitus,End stage renal disease,4,0.5
UTI or pyelonephritis,Alcohol abuse with intoxication,4,0.5
Acute kidney failure,Unsp intestnl obst,4,1.6
UTI or pyelonephritis,Major depressive disorder,4,0.5
Epilepsy,Head injury,4,2.0
Unsp intestnl obst,Diabetes mellitus,4,1.7
Unspecified atrial fibrillation,Acute kidney failure,4,1.1
Head injury,Acute upper respiratory infection,4,0.4
Dehydration,Hypotension,4,1.5
UTI or pyelonephritis,Hypokalemia,4,0.5
Lower respiratory disease,Hypotension,4,0.5
Heart failure,Anemia,4,2.3
Hypokalemia,Anemia,4,1.6
Unsp intestnl obst,Back or spine pain,4,1.7
Limb injury or pain,Major depressive disorder,4,0.2
Limb injury or pain,Acute kidney failure,4,0.2
Athscl heart disease of native coronary artery w/o ang pctrs,Acute kidney failure,4,2.7
Skin or soft-tissue infection,Alcohol abuse with intoxication,4,0.5
Head injury,Unspecified atrial fibrillation,4,0.4
Dehydration,Alcohol abuse with intoxication,4,1.5
GI bleed,Hypokalemia,4,0.6
Skin or soft-tissue infection,Laceration w/o fb of l idx fngr w/o damage to nail,4,0.5
Diabetes mellitus,Anemia,4,0.5
Diabetes mellitus,Alcohol abuse with intoxication,4,0.5
Skin or soft-tissue infection,Anemia,4,0.5
Anxiety disorder,Diabetes mellitus,4,1.4
Back or spine pain,Acute kidney failure,4,0.2
Acute upper respiratory infection,UTI or pyelonephritis,4,2.3
Unsp intestnl obst,Skin or soft-tissue infection,4,1.7
Athscl heart disease of native coronary artery w/o ang pctrs,UTI or pyelonephritis,4,2.7
Acute pharyngitis,Diabetes mellitus,4,1.2
Dehydration,Unsp intestnl obst,4,1.5
Diabetes mellitus,Athscl heart disease of native coronary artery w/o ang pctrs,4,0.5
Anxiety disorder,Dehydration,4,1.4
Hypothyroidism,Diabetes mellitus,4,3.1
Limb injury or pain,Acute upper respiratory infection,4,0.2
Skin or soft-tissue infection,Acute kidney failure,4,0.5
Acute kidney failure,Heart failure,4,1.6
Unsp intestnl obst,Dehydration,4,1.7
Acute pharyngitis,Cardiovascular risk factor,3,0.9
Cardiovascular risk factor,Alcohol abuse with intoxication,3,0.2
Athscl heart disease of native coronary artery w/o ang pctrs,Back or spine pain,3,2.0
Epilepsy,Alcohol abuse with intoxication,3,1.5
Dehydration,Acute pharyngitis,3,1.1
Hypokalemia,Alcohol abuse with intoxication,3,1.2
Back or spine pain,Unspecified atrial fibrillation,3,0.2
Lower respiratory disease,Sepsis,3,0.4
Acute kidney failure,GI bleed,3,1.2
Alcohol abuse with intoxication,UTI or pyelonephritis,3,0.4
Hypotension,Unspecified atrial fibrillation,3,3.1
Lower respiratory disease,GI bleed,3,0.4
Sepsis,Hypotension,3,3.6
Lower respiratory disease,Alcohol abuse with intoxication,3,0.4
Epilepsy,Diabetes mellitus,3,1.5
Skin or soft-tissue infection,Anxiety disorder,3,0.3
UTI or pyelonephritis,Epilepsy,3,0.4
Multiple fractures of ribs,Alcohol abuse with intoxication,3,2.0
Hypotension,Heart failure,3,3.1
Hypothyroidism,GI bleed,3,2.3
Anemia,Dehydration,3,1.2
Heart failure,Hypokalemia,3,1.7
End stage renal disease,Hypokalemia,3,3.3
Acute kidney failure,Anemia,3,1.2
Cardiovascular risk factor,Acute pharyngitis,3,0.2
Multiple fractures of ribs,UTI or pyelonephritis,3,2.0
Sepsis,Unspecified atrial fibrillation,3,3.6
Cardiovascular risk factor,Unspecified asthma with (acute) exacerbation,3,0.2
Head injury,Major depressive disorder,3,0.3
Acute kidney failure,Sepsis,3,1.2
Laceration w/o fb of l idx fngr w/o damage to nail,Major depressive disorder,3,1.0
Unspecified atrial fibrillation,Athscl heart disease of native coronary artery w/o ang pctrs,3,0.8
Athscl heart disease of native coronary artery w/o ang pctrs,Head injury,3,2.0
Back or spine pain,Major depressive disorder,3,0.2
Anemia,Head injury,3,1.2
Skin or soft-tissue infection,GI bleed,3,0.3
GI bleed,Hypotension,3,0.5
Unspecified atrial fibrillation,Skin or soft-tissue infection,3,0.8
Hypokalemia,Heart failure,3,1.2
Dehydration,GI bleed,3,1.1
Limb injury or pain,Acute pharyngitis,3,0.2
Unsp intestnl obst,Lower respiratory disease,3,1.3
Hypothyroidism,Lower respiratory disease,3,2.3
Diabetes mellitus,Unspecified atrial fibrillation,3,0.4
Head injury,Epilepsy,3,0.3
Lower respiratory disease,Unsp intestnl obst,3,0.4
Dehydration,Unspecified asthma with (acute) exacerbation,3,1.1
Multiple fractures of ribs,Unspecified atrial fibrillation,3,2.0
Sepsis,Skin or soft-tissue infection,3,3.6
UTI or pyelonephritis,Unspecified asthma with (acute) exacerbation,3,0.4
Back or spine pain,Acute pharyngitis,3,0.2
Cardiovascular risk factor,Multiple fractures of ribs,3,0.2
GI bleed,Unspecified atrial fibrillation,3,0.5
Cardiovascular risk factor,Hypothyroidism,3,0.2
Acute upper respiratory infection,Diabetes mellitus,3,1.7
Athscl heart disease of native coronary artery w/o ang pctrs,Heart failure,3,2.0
Lower respiratory disease,End stage renal disease,3,0.4
Back or spine pain,Laceration w/o fb of l idx fngr w/o damage to nail,3,0.2
Head injury,UTI or pyelonephritis,3,0.3
Diabetes mellitus,Heart failure,3,0.4
Laceration w/o fb of l idx fngr w/o damage to nail,Dehydration,2,0.7
Epilepsy,Lower respiratory disease,2,1.0
Limb injury or pain,GI bleed,2,0.1
Head injury,Unspecified asthma with (acute) exacerbation,2,0.2
Dehydration,Unspecified atrial fibrillation,2,0.8
GI bleed,Anxiety disorder,2,0.3
Back or spine pain,Unsp intestnl obst,2,0.1
Sepsis,Acute kidney failure,2,2.4
Cardiovascular risk factor,Acute upper respiratory infection,2,0.1
Hypothyroidism,Major depressive disorder,2,1.5
Unspecified asthma with (acute) exacerbation,Skin or soft-tissue infection,2,0.9
Unsp intestnl obst,Hypothyroidism,2,0.8
UTI or pyelonephritis,Hypotension,2,0.2
Hypotension,End stage renal disease,2,2.0
Dehydration,Anemia,2,0.8
Skin or soft-tissue infection,Dehydration,2,0.2
Hypokalemia,Unsp intestnl obst,2,0.8
Head injury,Dehydration,2,0.2
Epilepsy,Skin or soft-tissue infection,2,1.0
Unspecified asthma with (acute) exacerbation,UTI or pyelonephritis,2,0.9
Unspecified atrial fibrillation,Hypotension,2,0.5
Epilepsy,Hypokalemia,2,1.0
Athscl heart disease of native coronary artery w/o ang pctrs,Anemia,2,1.3
Epilepsy,Unsp intestnl obst,2,1.0
Unspecified asthma with (acute) exacerbation,Head injury,2,0.9
Epilepsy,Major depressive disorder,2,1.0
Anxiety disorder,Skin or soft-tissue infection,2,0.7
Skin or soft-tissue infection,Hypotension,2,0.2
Head injury,Hypokalemia,2,0.2
Unspecified atrial fibrillation,Unsp intestnl obst,2,0.5
Major depressive disorder,UTI or pyelonephritis,2,0.4
Head injury,Acute kidney failure,2,0.2
Acute pharyngitis,Head injury,2,0.6
UTI or pyelonephritis,Sepsis,2,0.2
Hypothyroidism,Unspecified atrial fibrillation,2,1.5
Heart failure,Skin or soft-tissue infection,2,1.1
Hypotension,GI bleed,2,2.0
Anemia,Hypokalemia,2,0.8
Hypotension,Limb injury or pain,2,2.0
Sepsis,Hypokalemia,2,2.4
Athscl heart disease of native coronary artery w/o ang pctrs,Hypokalemia,2,1.3
Back or spine pain,Hypokalemia,2,0.1
Acute pharyngitis,Hypothyroidism,2,0.6
Alcohol abuse with intoxication,Skin or soft-tissue infection,2,0.3
Skin or soft-tissue infection,End stage renal disease,2,0.2
Back or spine pain,Anemia,2,0.1
Unspecified atrial fibrillation,Hypokalemia,2,0.5
Unspecified asthma with (acute) exacerbation,Back or spine pain,2,0.9
End stage renal disease,GI bleed,2,2.2
Hypothyroidism,Unsp intestnl obst,2,1.5
Diabetes mellitus,Epilepsy,2,0.2
Anemia,Back or spine pain,2,0.8
Hypokalemia,Unspecified atrial fibrillation,2,0.8
Lower respiratory disease,Hypothyroidism,2,0.3
Hypothyroidism,Unspecified asthma with (acute) exacerbation,2,1.5
Heart failure,Acute pharyngitis,2,1.1
Unspecified asthma with (acute) exacerbation,Laceration w/o fb of l idx fngr w/o damage to nail,2,0.9
Dehydration,Back or spine pain,2,0.8
Unsp intestnl obst,Hypotension,2,0.8
Alcohol abuse with intoxication,GI bleed,2,0.3
Hypotension,UTI or pyelonephritis,2,2.0
End stage renal disease,Dehydration,2,2.2
Major depressive disorder,Back or spine pain,2,0.4
UTI or pyelonephritis,End stage renal disease,2,0.2
End stage renal disease,UTI or pyelonephritis,2,2.2
Unspecified asthma with (acute) exacerbation,Unspecified atrial fibrillation,2,0.9
