true,predicted,count,share_of_true_class
Unspecified asthma with (acute) exacerbation,Anxiety disorder,2,0.017857142857142856
Unspecified asthma with (acute) exacerbation,Cardiovascular risk factor,2,0.017857142857142856
Unspecified atrial fibrillation,Hypotension,2,0.0111731843575419
Unspecified atrial fibrillation,Unsp intestnl obst,2,0.0111731843575419
Unspecified atrial fibrillation,Unspecified asthma with (acute) exacerbation,2,0.0111731843575419
Acute kidney failure,Back or spine pain,1,0.0078125
Acute kidney failure,Epilepsy,1,0.0078125
Acute kidney failure,GI bleed,1,0.0078125
Acute kidney failure,Hypothyroidism,1,0.0078125
Acute kidney failure,Limb injury or pain,1,0.0078125
Acute kidney failure,Major depressive disorder,1,0.0078125
Acute kidney failure,Multiple fractures of ribs,1,0.0078125
Acute kidney failure,Unsp intestnl obst,1,0.0078125
Acute pharyngitis,Acute kidney failure,1,0.005952380952380952
Acute pharyngitis,Anemia,1,0.005952380952380952
Acute pharyngitis,Anxiety disorder,1,0.005952380952380952
Acute pharyngitis,Lower respiratory disease,1,0.005952380952380952
Acute upper respiratory infection,Major depressive disorder,1,0.012195121951219513
Acute upper respiratory infection,UTI or pyelonephritis,1,0.012195121951219513
Acute upper respiratory infection,Unspecified atrial fibrillation,1,0.012195121951219513
Alcohol abuse with intoxication,Acute upper respiratory infection,1,0.002898550724637681
Alcohol abuse with intoxication,Cardiovascular risk factor,1,0.002898550724637681
Alcohol abuse with intoxication,GI bleed,1,0.002898550724637681
Alcohol abuse with intoxication,Limb injury or pain,1,0.002898550724637681
Alcohol abuse with intoxication,Lower respiratory disease,1,0.002898550724637681
Alcohol abuse with intoxication,Sepsis,1,0.002898550724637681
Alcohol abuse with intoxication,Skin or soft-tissue infection,1,0.002898550724637681
Alcohol abuse with intoxication,Unsp intestnl obst,1,0.002898550724637681
Alcohol abuse with intoxication,Unspecified atrial fibrillation,1,0.002898550724637681
Anemia,Alcohol abuse with intoxication,1,0.008771929824561403
Anemia,Cardiovascular risk factor,1,0.008771929824561403
Anemia,Diabetes mellitus,1,0.008771929824561403
Anemia,Heart failure,1,0.008771929824561403
